iter,nsample,time,memory,meanloss
10 1000 936.0910111 50949120 0.005024279827237479
10 1000 1861.2609584000002 50949120 0.010002964539264213
11 1000 2809.9880921 50949120 0.0028977252349432093
11 1000 3735.2458876000005 50949120 0.007815533448476344
12 1000 4686.109187499999 45404672 0.000870911797741428
12 1000 5610.7818049 45404672 0.005586008806683821
12 1000 6533.742686799999 45404672 0.010214309513263287
13 1000 7486.0942552999995 45404672 0.003373446913145017
13 1000 8410.4935927 45404672 0.0077927310354425575
14 1000 9356.1636526 45404672 0.0017854478793451563
14 1000 10281.660998500001 45404672 0.0064038775543012886
14 1000 11206.291703300001 45404672 0.011368152266571997
15 1000 12157.786017600001 28771328 0.004494233105680905
15 1000 13082.8395875 28771328 0.00907862675083743
16 1000 14040.640556800001 28771328 0.0025523139573051593
16 1000 14968.427499200001 28771328 0.006768632630613865
17 1000 15924.101596600001 28771328 0.0008215499868383631
17 1000 16851.487432500002 28771328 0.004887920220557135
17 1000 17778.015095900002 28771328 0.008918376060042647
18 1000 18729.4722574 28771328 0.0029800276441383174
18 1000 19654.7743142 28771328 0.007312081889758701
19 1000 20602.4756542 28771328 0.0013317095868987962
19 1000 21527.2888638 28771328 0.005341466151920031
19 1000 22452.6904826 28771328 0.009309260583118885
20 1000 23402.8599473 28771328 0.0036037843998710743
20 1000 24327.7139083 28771328 0.0078594891442699
21 1000 25275.3028284 28771328 0.002280613142444054
21 1000 26201.2757979 28771328 0.00644074976129923
22 1000 27147.9800903 28771328 0.00062406505960098
